Términos de búsqueda
Todo el período
Término de búsqueda,Tipo de concordancia con los términos de búsqueda,Agregadas/excluidas,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,% impr. (absoluto parte sup.),% impr. (parte sup.),Conversiones,Conv. posimpresión,Costo/conv.,Porcentaje de conv.
problemas de ansiedad como controlarlos,Concordancia exacta (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
que calma la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
que es bueno para ansiedad,Concordancia exacta (variante cercana),Ninguna,0,5,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
que es bueno para el estres y la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
que es bueno para la ansiedad y nervios,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
que es bueno para los nervios,Concordancia exacta (variante cercana),Ninguna,0,8,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
que es bueno para los nervios y la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0.00%,50.00%,0.00,0,0,0
que es bueno para nervios,Concordancia exacta (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
que es bueno para relajar la mente,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
que es bueno tomar para la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
que es buenos para los nervios,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
que hacer con el estres cronico,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
que hacer cuando hay ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
que hacer cuando me de ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
que hacer cuando te da ansiedad,Concordancia exacta (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
que hacer cuando te sientes ansiosa,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
que hacer cuando tienes ansiedad,Concordancia exacta (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
que hacer cuando tienes estres y ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
que hacer en casos de ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
que hacer para aliviar la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
que hacer para bajar el estres y la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
que hacer para bajar la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
que hacer para controlar la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
que hacer para la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
que hacer para quitar el estres y la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
que hacer para quitar la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
que hacer para relajarme si tengo ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
que hacer para tranquilizar la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
que hacer si me da ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
que hacer si sufres de ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
que hacer si tengo estres cronico,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
que hacer si tienes ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
que hago para calmar mi ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
que puedes tomar para la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
que puedo hacer cuando tengo ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
que puedo hacer para desestresarme,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
que puedo hacer para quitar la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
que puedo tomar para la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0.00%,66.67%,0.00,0,0,0
que puedo tomar para la ansiedad y estres,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
que se debe hacer para controlar la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
que se puede hacer con la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
que se puede hacer para controlar la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
que se puede hacer para evitar la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
que se puede hacer para los ataques de ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
que se puede tomar para la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
que sirve para la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
que tomar para controlar la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
que tomar para el estres cronico,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
que tomar para la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,5,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
ques bueno para la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
quiero relajar mi mente,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
quitar la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
quitar los nervios,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
qué es bueno para ansiedad,Concordancia exacta (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
qué es bueno para controlar los nervios,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
qué es bueno para evitar la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
qué es bueno para la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,21,0.00%,PEN,0,0.00,22.22%,33.33%,0.00,0,0,0
qué es bueno para los nervios,Concordancia exacta (variante cercana),Ninguna,0,10,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
qué es bueno para quitar los nervios,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
qué hacer cuando tienes ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
qué puedo hacer para controlar la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
qué puedo hacer para tranquilizarme,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
qué puedo tomar para la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
qué remedio es bueno para la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
qué remedio puedo tomar para la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
qué remedio se puede tomar para la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
qué tomo para la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
relaja tu mente,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
relajacion mental,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
relajacion nervios,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
relajacion para la mente,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
relajación de la mente,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
relajación mental,Concordancia exacta (variante cercana),Ninguna,0,64,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
relajación mental emocional,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
relajación para la mente,Concordancia exacta (variante cercana),Ninguna,0,8,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
relajamiento de la mente,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
relajamiento mental,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
relajar el sistema nervioso,Concordancia exacta (variante cercana),Ninguna,0,4,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
relajar la mente y dejar de pensar,Concordancia exacta (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
relajar mente,Concordancia exacta (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
relajarse ansiedad,Concordancia exacta (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
relajo mental,Concordancia exacta (variante cercana),Ninguna,0,4,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
remedios para nervios,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
sanar la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
sistema nervioso como controlarlo,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
superar la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
tecnicas para calmar la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
tecnicas para calmar la ansiedad y los nervios,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
tecnicas para controlar la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
tecnicas para controlar los nervios,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
tecnicas para reducir el estres y la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
tecnicas para relajar la mente,Concordancia exacta (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
tengo ansiedad que hago,Concordancia exacta (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
tengo ansiedad que puedo hacer,Concordancia exacta (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
tengo mucha ansiedad que hago,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
tengo mucha ansiedad que puedo hacer,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
tips de relajacion mental,Concordancia exacta (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
tips para calmar la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
tips para la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
tips para los nervios,Concordancia exacta (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
tips para vencer la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
tranquilizar el sistema nervioso,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
tranquilizar la mente,Concordancia exacta (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
tratar ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
trucos contra la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
trucos para la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,7,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
técnica para calmar la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
técnicas para combatir la ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
técnicas para manejar el nerviosismo,Concordancia exacta (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
vencer ansiedad,Concordancia exacta (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
10 ejercicios para el estrés,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
10 secretos estoicos para eliminar la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
1043 trucos para tranquilizar el sistema nervioso,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
4 consejos para eliminar la ansiedad y el miedo,Concordancia de frase (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
4 cosas que debes hacer para calmar tu mente,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
5 pasos para superar la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
actividades para calmar la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
actividades para manejar el estres y la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
actividades para manejar el estrés y la ansiedad ucv,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
actividades para trabajar la ansiedad en adultos,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
acupresión para la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
acupuntura para el estres y ansiedad,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
acupuntura para la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
adios estres y ansiedad,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
adiós a la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
algo para calmar la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
algo para la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
algo para relajarse,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
algo relajante,Concordancia de frase (variante cercana),Ninguna,0,9,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
algún medicamento para los nervios,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
alimentos contra la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
alimentos naturales para los nervios,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
alimentos para ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
alimentos para calmar los nervios,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
alimentos para la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
alimentos para la depresión y ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
alimentos para los nervios,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
alimentos para nervios,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ansiedad cronica como curarla,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ansiedad generalizada como superarla,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ansiedad guiada,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ansiedad isep,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ansiedad jorge benito,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ansiedad que hacer en una crisis,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ansiedad respiracion ejercicios,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ansiedad sintomas tratamiento,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
ansiedad social como superarla,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ansiedad social tratamiento,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
ansiedad terapia cognitivo conductual,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ansiedad tratamiento,Concordancia de frase (variante cercana),Ninguna,0,4,0.00%,PEN,0,0.00,0.00%,50.00%,0.00,0,0,0
ansiedad tratamiento natural,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ansiedad y depresion como combatirla,Concordancia de frase (variante cercana),Ninguna,0,9,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ansioliticos,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ansioliticos farmacologia,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ansiolíticos,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ansiolíticos farmacologia,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
anti ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
antiosolitico,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
aprender a calmarse,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
arteterapia para la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ataque ansiedad que hacer,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
ataque de ansiedad que hacer,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
ataques de ansiedad como calmarlos,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
atención plena mindfulness,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
audios para calmar la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ayuda ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ayuda psicologica para superar la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ayuda psicológica para la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
bajar ansiedad y nerviosismo,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
bajar el estres y la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
bajar la ansiedad rapido,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
bio relajacion profunda,Concordancia de frase (variante cercana),Ninguna,0,8,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
bueno para los nervios,Concordancia de frase (variante cercana),Ninguna,0,4,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
buenos momentos eliminar el estres y la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cacao para la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calma ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calma el sistema nervioso,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calma estres,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calma la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calma la ansiedad en 5 minutos,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calma mental,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calma mi ansiedad señor,Concordancia de frase (variante cercana),Ninguna,0,27,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calma tu mente,Concordancia de frase (variante cercana),Ninguna,0,17,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmantes para la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
calmar ansiedad,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmar ansiedad relajar la mente,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmar ansiedad y nervios,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmar ataques de ansiedad,Concordancia de frase (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmar el estres y la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmar el sistema nervioso excitado,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmar estres,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmar la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,14,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmar la ansiedad meditacion guiada,Concordancia de frase (variante cercana),Ninguna,0,4,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmar la ansiedad y dormir,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmar la ansiedad y nerviosismo meditacion,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmar los nervios y ansiedad,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmar sistema nervioso excitado,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmarse en un ataque de ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
calmas mi ansiedad,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cancion para calmar la ansiedad y dormir profundamente,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
